id,file_path,line_number
1,01_database_insert.abap,34
2,01_database_insert.abap,60
3,01_database_insert.abap,118
4,02_database_update.abap,33
5,02_database_update.abap,51
6,02_database_update.abap,67
7,02_database_update.abap,134
8,02_database_update.abap,154
9,02_database_update.abap,206
10,03_database_modify.abap,35
11,03_database_modify.abap,61
12,03_database_modify.abap,122
13,03_database_modify.abap,247
14,04_database_delete.abap,64
15,04_database_delete.abap,216
16,06_move_operations.abap,81
17,09_data_declarations.abap,210
18,10_if_else.abap,162
19,11_case_when.abap,109
20,13_try_catch.abap,118
21,test_complex_flow.abap,29
22,test_comprehensive_scenario.abap,18
23,test_extended_scenarios.abap,10
24,test_extended_scenarios.abap,17
25,test_extended_scenarios.abap,22
26,test_insert_values.abap,11
27,test_insert_values.abap,14
28,test_insert_values.abap,21
29,test_insert_values.abap,27
30,test_insert_values.abap,35
31,test_multiline_scenario.abap,6
32,test_multiline_update.abap,10
33,test_multiline_update.abap,40
34,test_multiple_rfc.abap,13
35,test_multiple_rfc.abap,21
36,test_multiple_rfc.abap,36
37,test_multiple_rfc.abap,48
38,test_multiple_rfc.abap,62
39,test_multiple_rfc.abap,95
40,test_multiple_rfc.abap,112
41,test_perform_using.abap,11
42,test_perform_using.abap,15
43,test_perform_using.abap,16
44,test_perform_using.abap,23
45,test_perform_using.abap,24
46,test_perform_using.abap,28
47,test_perform_using.abap,31
48,test_perform_using.abap,32
49,user_example.abap,3
50,zabap.abap,1
51,zpa0020_fixed.abap,5
52,zpa0020_fixed.abap,6
53,ztest.abap,9
