id,file_path,line_number,code_line
1,01_database_insert.abap,6,"DATA: lv_user TYPE sy-uname,"
2,01_database_insert.abap,7,lv_creator TYPE sy-uname.
3,01_database_insert.abap,12,"created_by TYPE sy-uname,"
4,01_database_insert.abap,16,lv_user = sy-uname.
5,02_database_update.abap,29,"DATA: lv_user TYPE sy-uname,"
6,02_database_update.abap,30,"lv_updater TYPE sy-uname,"
7,02_database_update.abap,31,lv_modifier TYPE sy-uname.
8,02_database_update.abap,39,"modified_by TYPE sy-uname,"
9,02_database_update.abap,48,"updater TYPE sy-uname,"
10,02_database_update.abap,58,lv_user = sy-uname.
11,02_database_update.abap,64,"ls_temp-changed_by = lv_updater.  "" sy-uname tracked"
12,02_database_update.abap,86,"changed_by = sy-uname,"
13,02_database_update.abap,97,lv_modifier = sy-uname.
14,02_database_update.abap,106,"ls_temp-processed_by = lv_modifier.  "" sy-uname tracked"
15,02_database_update.abap,150,lv_user = sy-uname.
16,02_database_update.abap,165,ls_intermediate-updater = sy-uname.
17,02_database_update.abap,205,changed_by = sy-uname
18,02_database_update.abap,225,archive_user = sy-uname
19,02_database_update.abap,256,lv_modifier = sy-uname.
20,02_database_update.abap,262,"ls_temp-processed_by = lv_modifier.  "" Track sy-uname"
21,02_database_update.abap,289,DATA(lv_new_text) = |Updated on { sy-datum } by { sy-uname }|.
22,03_database_modify.abap,27,"DATA: lv_user TYPE sy-uname,"
23,03_database_modify.abap,28,"lv_modifier TYPE sy-uname,"
24,03_database_modify.abap,29,lv_processor TYPE sy-uname.
25,03_database_modify.abap,37,"created_by TYPE sy-uname,"
26,03_database_modify.abap,47,"modifier TYPE sy-uname,"
27,03_database_modify.abap,57,lv_user = sy-uname.
28,03_database_modify.abap,63,"ls_temp-changed_by = lv_modifier.  "" sy-uname tracked"
29,03_database_modify.abap,86,lv_processor = sy-uname.
30,03_database_modify.abap,94,"ls_temp-changed_by = lv_processor.  "" sy-uname tracked"
31,03_database_modify.abap,150,lv_user = sy-uname.
32,03_database_modify.abap,158,"ls_temp-accessed_by = lv_user.  "" Track sy-uname"
33,03_database_modify.abap,172,wa_ztable-processed_by = sy-uname.
34,03_database_modify.abap,185,lv_modifier = sy-uname.
35,03_database_modify.abap,227,lv_user = sy-uname.
36,03_database_modify.abap,236,"<fs_table>-modified_by = lv_user.  "" Track sy-uname"
37,03_database_modify.abap,288,ls_intermediate-modifier = sy-uname.
38,03_database_modify.abap,318,lv_processor = sy-uname.
39,03_database_modify.abap,338,"ls_temp-checked_by = lv_processor.  "" Track sy-uname"
40,04_database_delete.abap,29,"DATA: lv_user TYPE sy-uname,"
41,04_database_delete.abap,30,"lv_deleter TYPE sy-uname,"
42,04_database_delete.abap,31,lv_processor TYPE sy-uname.
43,04_database_delete.abap,41,lv_user = sy-uname.
44,04_database_delete.abap,72,lv_processor = sy-uname.
45,04_database_delete.abap,81,"ls_temp-deleted_by = lv_processor.  "" Track sy-uname"
46,04_database_delete.abap,103,lv_user = sy-uname.
47,04_database_delete.abap,169,lv_deleter = sy-uname.
48,04_database_delete.abap,203,ls_intermediate-modifier = sy-uname.
49,04_database_delete.abap,208,ls_data-deleted_by = sy-uname.
50,04_database_delete.abap,256,lv_processor = sy-uname.
51,04_database_delete.abap,263,"ls_temp-deleted_by = lv_processor.  "" Track sy-uname"
52,04_database_delete.abap,313,lv_user = sy-uname.
53,04_database_delete.abap,343,lv_deleter = sy-uname.
54,06_move_operations.abap,81,lv_var1 = sy-uname.
55,09_data_declarations.abap,210,DATA(lv_template) = |User: { sy-uname } Date: { sy-datum }|.
56,10_if_else.abap,162,IF sy-uname = 'SAP*' OR sy-uname = 'DDIC'.
57,11_case_when.abap,105,CASE sy-uname.
58,11_case_when.abap,109,"WRITE: / 'Regular user:', sy-uname."
59,13_try_catch.abap,118,IF sy-uname IS INITIAL.
60,34_multiline_colon.abap,162,"p_user TYPE sy-uname DEFAULT sy-uname,"
61,34_multiline_colon.abap,233,r_user FOR sy-uname.
62,business_scenario.abap,7,"PARAMETERS: p_user TYPE sy-uname DEFAULT sy-uname,"
63,business_scenario.abap,14,"SELECT-OPTIONS: s_user FOR sy-uname,"
64,complex_structure.abap,4,"p_user TYPE sy-uname,"
65,complex_structure.abap,10,"s_user FOR sy-uname,"
66,long_code_find.abap,44,PARAMETERS p_user TYPE sy-uname.
67,mixed_case.abap,3,PARAMETERS p_user TYPE SY-UNAME.
68,multiline_complex.abap,3,"SELECT-OPTIONS: s_user FOR ztable-user, "" 기본값 sy-uname 고려"
69,simple_find.abap,3,PARAMETERS p_user TYPE sy-uname.
70,simple_find.abap,6,SELECT-OPTIONS s_id FOR ztable-id DEFAULT sy-uname.
71,test_basic.abap,3,PARAMETERS: p_user TYPE sy-uname.
72,test_colon_comma.abap,3,"SELECT-OPTIONS : s_uname FOR sy-uname,"
73,test_colon_comma.abap,7,"PARAMETERS : p_uname TYPE sy-uname,"
74,test_complex_flow.abap,4,"DATA: gv_global_user TYPE sy-uname,"
75,test_complex_flow.abap,5,"gv_temp_user TYPE sy-uname,"
76,test_complex_flow.abap,11,METHODS: process_user IMPORTING iv_user TYPE sy-uname
77,test_complex_flow.abap,18,DATA: mv_internal_user TYPE sy-uname.
78,test_complex_flow.abap,24,"DATA: lv_user1 TYPE sy-uname,"
79,test_complex_flow.abap,25,"lv_user2 TYPE sy-uname,"
80,test_complex_flow.abap,26,"lv_user3 TYPE sy-uname,"
81,test_complex_flow.abap,29,lv_user1 = sy-uname.
82,test_complex_flow.abap,66,"FIELD-SYMBOLS: <fs_user> TYPE sy-uname,"
83,test_complex_flow.abap,72,DATA: lv_dynamic_user TYPE sy-uname.
84,test_complex_flow.abap,79,"DATA: lt_selected_users TYPE TABLE OF sy-uname,"
85,test_complex_flow.abap,80,lv_selected_user TYPE sy-uname.
86,test_complex_flow.abap,96,"DATA: lv_export_user TYPE sy-uname,"
87,test_complex_flow.abap,97,lv_import_user TYPE sy-uname.
88,test_complex_flow.abap,132,FORM update_audit_log USING p_user TYPE sy-uname.
89,test_complex_flow.abap,146,FORM write_to_archive USING p_archive_user TYPE sy-uname.
90,test_comprehensive_scenario.abap,3,"DATA: gv_user      TYPE sy-uname,"
91,test_comprehensive_scenario.abap,4,"gv_log_user  TYPE sy-uname,"
92,test_comprehensive_scenario.abap,5,gv_temp_user TYPE sy-uname.
93,test_comprehensive_scenario.abap,8,"created_by TYPE sy-uname,"
94,test_comprehensive_scenario.abap,18,gv_user = sy-uname.
95,test_comprehensive_scenario.abap,44,FORM log_user_activity USING p_user TYPE sy-uname.
96,test_cp949.abap,2,DATA: lv_user TYPE sy-uname.
97,test_cp949.abap,3,lv_user = sy-uname.
98,test_default.abap,3,SELECT-OPTIONS s_uname FOR bkpf-usnam DEFAULT sy-uname.
99,test_default.abap,8,PARAMETERS p_name TYPE sy-uname DEFAULT sy-uname.
100,test_extended_scenarios.abap,3,"DATA: gv_user_rfc    TYPE sy-uname,"
101,test_extended_scenarios.abap,4,"gv_user_perform TYPE sy-uname,"
102,test_extended_scenarios.abap,5,gv_user_unused  TYPE sy-uname.
103,test_extended_scenarios.abap,10,gv_user_rfc = sy-uname.
104,test_extended_scenarios.abap,17,gv_user_perform = sy-uname.
105,test_extended_scenarios.abap,22,gv_user_unused = sy-uname.
106,test_extended_scenarios.abap,26,FORM process_user_data USING p_user TYPE sy-uname.
107,test_insert_values.abap,3,"DATA: lv_creator TYPE sy-uname,"
