ID,Source_File,Line_Number,Status,Final_Table,Final_Fields,DB_Operations,RFC_Functions,PERFORM_Calls,Confidence,Tainted_Variables,Description
1,input/01_database_insert.abap,34,Complete,ZTABLE,CREATED_BY,INSERT,,,0.75,"SY-UNAME, WA_ZTABLE-CREATED_BY, WA_ZTABLE, WA_ZTABLE-CREATED_ON","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 4 tainted"
2,input/01_database_insert.abap,60,Complete,ZTABLE,CREATED_BY,INSERT,,,0.75,"SY-UNAME, WA_ZTABLE-CREATED_BY, WA_ZTABLE, WA_ZTABLE-CREATED_ON, LT_ZTABLE","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted"
3,input/01_database_insert.abap,118,Complete,ZTABLE,FIELD1,"INSERT, SELECT",,,0.75,"SY-UNAME, CREATED_BY, CREATED_ON, WA_MAKT-SPRAS, WA_MAKT","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted"
4,input/02_database_update.abap,33,Complete,ZTABLE,CHANGED_BY,UPDATE,,,0.75,"SY-UNAME, WA_ZTABLE-CHANGED_BY, WA_ZTABLE, WA_ZTABLE-CHANGED_ON","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 4 tainted"
5,input/02_database_update.abap,51,Complete,ZTABLE,PROCESSED_BY,"UPDATE, SELECT, MODIFY",,,0.75,"SY-UNAME, CHANGED_BY, CHANGED_ON, WA_ZTABLE-PROCESSED_DATE, WA_ZTABLE","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 10 tainted"
6,input/02_database_update.abap,67,Complete,ZTABLE,PROCESSED_BY,"UPDATE, SELECT, MODIFY",,,0.75,"SY-UNAME, WA_ZTABLE-PROCESSED_BY, WA_ZTABLE, LT_ZTABLE, CHANGED_BY","Operations: Assignment, Structure Field, Internal Table | Tables: ZTABLE | Fields: 1 affected | Variables: 8 tainted"
7,input/02_database_update.abap,134,Complete,ZTABLE,CHANGED_BY,UPDATE,,,0.75,"SY-UNAME, CHANGED_BY, ARCHIVE_DATE, ARCHIVE_USER, WA_ZTABLE-PROCESS_DATE","Operations: Assignment, Assignment, Assignment | Variables: 6 tainted"
8,input/02_database_update.abap,154,Complete,ZTABLE,ARCHIVE_USER,UPDATE,,,0.75,"SY-UNAME, ARCHIVE_USER, WA_ZTABLE-PROCESS_DATE, WA_ZTABLE","Operations: Assignment, Assignment, Structure Field | Variables: 4 tainted"
9,input/02_database_update.abap,206,Complete,ZTABLE,USER_FIELD,"UPDATE, SELECT",,,0.75,SY-UNAME,Variables: 1 tainted
10,input/03_database_modify.abap,23,Complete,ZTABLE,CHANGED_BY,"MODIFY, INSERT, UPDATE",,,0.75,"SY-UNAME, WA_ZTABLE-CHANGED_BY, WA_ZTABLE, WA_ZTABLE-CHANGED_ON, ZTABLE","Operations: Assignment, Structure Field, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted"
