file_path,line_number,status,operation,table,confidence,tainted_variables,advanced_patterns,context_scope
input/02_database_update.abap,30,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LV_UPDATER, UPDATER, LV_MODIFIER",0,window_analysis
input/02_database_update.abap,34,Complete,UPDATE,Unknown,0.70,"SY-UNAME, MODIFIED_BY",0,window_analysis
input/02_database_update.abap,48,Complete,UPDATE,Unknown,0.70,"SY-UNAME, UPDATER",0,window_analysis
input/02_database_update.abap,59,Complete,UPDATE,Unknown,0.70,"LV_UPDATER, LV_USER, UPDATER",0,window_analysis
input/02_database_update.abap,64,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LV_UPDATER, CHANGED_BY, UPDATER",0,window_analysis
input/02_database_update.abap,84,Complete,UPDATE,ZTABLE,0.90,"SY-UNAME, CHANGED_BY",0,window_analysis
input/02_database_update.abap,165,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LS_INTERMEDIATE, UPDATER, LS_INTERMEDIATE-UPDATER",0,window_analysis
input/02_database_update.abap,166,Complete,UPDATE,Unknown,0.70,LS_INTERMEDIATE,0,window_analysis
input/02_database_update.abap,167,Complete,UPDATE,Unknown,0.70,LS_INTERMEDIATE,0,window_analysis
input/02_database_update.abap,168,Complete,UPDATE,Unknown,0.70,"UPDATED_BY, LS_INTERMEDIATE, UPDATER, LS_INTERMEDIATE-UPDATER",0,window_analysis
input/02_database_update.abap,177,Complete,UPDATE,ZTABLE,0.90,UPDATED_BY,0,window_analysis
input/02_database_update.abap,178,Complete,UPDATE,Unknown,0.70,UPDATED_BY,0,window_analysis
input/02_database_update.abap,203,Complete,UPDATE,ZTABLE,0.90,"SY-UNAME, CHANGED_BY",0,window_analysis
input/02_database_update.abap,223,Complete,UPDATE,ZTABLE,0.90,"SY-UNAME, ARCHIVE_USER",0,window_analysis
input/02_database_update.abap,289,Complete,UPDATE,Unknown,0.70,SY-UNAME,0,window_analysis
input/03_database_modify.abap,114,Complete,UPDATE,Unknown,0.70,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,117,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,126,Complete,MODIFY,LT_ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,134,Complete,MODIFY,LT_ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,141,Complete,MODIFY,Unknown,0.70,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,143,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,174,Complete,MODIFY,LT_ZTABLE,0.90,"WA_ZTABLE, PROCESSED_BY",0,window_analysis
input/03_database_modify.abap,251,Complete,UPDATE,Unknown,0.70,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,252,Complete,UPDATE,Unknown,0.70,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,256,Complete,UPDATE,Unknown,0.70,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,259,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/03_database_modify.abap,296,Complete,MODIFY,Unknown,0.70,"LS_DATA, LS_TABLE, WA_ZTABLE",0,window_analysis
input/03_database_modify.abap,306,Complete,MODIFY,ZTABLE,0.90,WA_ZTABLE,0,window_analysis
input/04_database_delete.abap,30,Complete,DELETE,Unknown,0.70,"LV_PROCESSOR, SY-UNAME, LV_DELETER",0,window_analysis
input/04_database_delete.abap,42,Complete,DELETE,Unknown,0.70,"LV_USER, LV_DELETER",0,window_analysis
input/04_database_delete.abap,45,Complete,DELETE,Unknown,0.70,"LV_DELETER, DELETED_BY",0,window_analysis
input/04_database_delete.abap,81,Complete,DELETE,Unknown,0.70,"LV_PROCESSOR, SY-UNAME, DELETED_BY",0,window_analysis
input/04_database_delete.abap,169,Complete,DELETE,Unknown,0.70,"SY-UNAME, LV_DELETER",0,window_analysis
input/04_database_delete.abap,176,Complete,DELETE,Unknown,0.70,"LV_DELETER, DELETED_BY",0,window_analysis
input/04_database_delete.abap,188,Complete,DELETE,Unknown,0.70,"LS_DATA, LV_DELETER, DELETED_BY, LS_DATA-DELETED_BY",0,window_analysis
input/04_database_delete.abap,189,Complete,DELETE,ZTABLE,0.90,LS_DATA,0,window_analysis
input/04_database_delete.abap,208,Complete,DELETE,Unknown,0.70,"LS_DATA, SY-UNAME, DELETED_BY, LS_DATA-DELETED_BY",0,window_analysis
input/04_database_delete.abap,210,Complete,DELETE,Unknown,0.70,"LS_DATA, LS_TABLE",0,window_analysis
input/04_database_delete.abap,263,Complete,DELETE,Unknown,0.70,"SY-UNAME, LV_PROCESSOR, DELETED_BY",0,window_analysis
input/04_database_delete.abap,321,Complete,DELETE,Unknown,0.70,"LV_USER, DELETED_BY",0,window_analysis
input/04_database_delete.abap,343,Complete,DELETE,Unknown,0.70,"SY-UNAME, LV_DELETER",0,window_analysis
input/04_database_delete.abap,350,Complete,DELETE,Unknown,0.70,"DELETED_BY, LV_DELETER",0,window_analysis
input/test_complex_flow.abap,75,Complete,UPDATE,ZDYNAMIC_TABLE,0.90,"UPDATED_BY, LV_DYNAMIC_USER",0,window_analysis
input/test_complex_flow.abap,91,Complete,UPDATE,Unknown,0.70,LV_SELECTED_USER,0,window_analysis
input/test_complex_flow.abap,108,Complete,INSERT,ZTRANSFORMED_USERS,0.90,"LV_EXPORT_USER, TRANSFORMED, ORIGINAL, LV_IMPORT_USER",0,window_analysis
input/test_complex_flow.abap,124,Complete,INSERT,ZPROCESSED_USERS,0.90,"USERNAME, MV_INTERNAL_USER",0,window_analysis
input/test_complex_flow.abap,132,Complete,UPDATE,Unknown,0.70,"SY-UNAME, P_USER",0,window_analysis
input/test_complex_flow.abap,152,Complete,INSERT,ZARCHIVE,0.90,"P_ARCHIVE_USER, ARCHIVED_BY",0,window_analysis
input/test_extended_scenarios.abap,11,Complete,UPDATE,Unknown,0.70,"I_USERNAME, GV_USER_RFC",0,window_analysis
input/test_insert_values.abap,13,Complete,INSERT,ZUSER_LOG,0.90,"SY-UNAME, USERNAME",0,window_analysis
input/test_insert_values.abap,19,Complete,INSERT,ZUSER_AUDIT,0.90,"SY-UNAME, CREATED_BY",0,window_analysis
input/test_insert_values.abap,29,Complete,INSERT,ZTRANSACTION_LOG,0.90,"SY-UNAME, LV_MODIFIER",0,window_analysis
input/test_insert_values.abap,31,Complete,UPDATE,Unknown,0.70,"SY-UNAME, LV_MODIFIER",0,window_analysis
input/test_insert_values.abap,32,Complete,DELETE,Unknown,0.70,SY-UNAME,0,window_analysis
input/test_insert_values.abap,39,Complete,INSERT,ZUSER_RECORDS,0.90,LS_RECORD,0,window_analysis
input/test_insert_values.abap,50,Complete,INSERT,ZAUDIT_TRAIL,0.90,"SY-UNAME, USERNAME",0,window_analysis
input/test_multiline_scenario.abap,10,Complete,UPDATE,ZUSER_DATA,0.90,"LAST_CHANGED_BY, GV_USER",0,window_analysis
input/test_multiline_update.abap,14,Complete,UPDATE,ZUSERTAB,0.90,"LAST_CHANGED_BY, USER, LV_USERNAME",0,window_analysis
input/test_multiline_update.abap,22,Complete,UPDATE,ZUSERS,0.90,"USER, MODIFIED_BY, LV_USERNAME",0,window_analysis
